#t,fmu0_p.e,fmu0_zChassis,fmu1_p.e,fmu1_p1.f,fmu1_zWheel,fmu2_p.f,fmu2_zGround
+5.8999999999999997e-01,+3.9247962614623075e+03,+9.9986817337404843e-01,+4.3138476222020345e+03,+1.0064896094025707e-03,+5.0000718918531983e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+5.9999999999999998e-01,+3.9244391795054044e+03,+9.9986933849101178e-01,+4.3130116715154263e+03,+7.0955356546247212e-05,+5.0001276218989732e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+6.0999999999999999e-01,+3.9234731171247595e+03,+9.9987083060960658e-01,+4.3135850214211896e+03,-8.0989398799933274e-04,+5.0000893985719208e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+6.2000000000000000e-01,+3.9224522782266035e+03,+9.9987241522650105e-01,+4.3151224410143559e+03,-1.1715109051653985e-03,+4.9999869039323763e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+6.3000000000000000e-01,+3.9219098767832370e+03,+9.9987390254169850e-01,+4.3167044660001693e+03,-8.6726936542520317e-04,+4.9998814355999893e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+6.4000000000000001e-01,+3.9220762113171186e+03,+9.9987524072474865e-01,+4.3174692779572788e+03,-1.1815205345608957e-04,+4.9998304481361816e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+6.5000000000000002e-01,+3.9227831616448052e+03,+9.9987652725072307e-01,+4.3170664295883726e+03,+6.3769904142114834e-04,+4.9998573046941092e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+6.6000000000000003e-01,+3.9235893135173337e+03,+9.9987793959945537e-01,+4.3157978426119971e+03,+9.9761388448412272e-04,+4.9999418771592008e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+6.7000000000000004e-01,+3.9240394094818539e+03,+9.9987962942446396e-01,+4.3143989241625040e+03,+8.0559633246148152e-04,+5.0000351383891672e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+6.8000000000000005e-01,+3.9239080153943073e+03,+9.9988163980937295e-01,+4.3136084442748934e+03,+2.1335733530222491e-04,+5.0000878370483415e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+6.8999999999999995e-01,+3.9232990912959026e+03,+9.9988388761821767e-01,+4.3137750081601444e+03,-4.2791115931269775e-04,+5.0000767327893247e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+6.9999999999999996e-01,+3.9225613177549467e+03,+9.9988621454347082e-01,+4.3147063578885391e+03,-7.7230063164425574e-04,+5.0000146428074299e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+7.0999999999999996e-01,+3.9220806972347496e+03,+9.9988847356159294e-01,+4.3158200591817531e+03,-6.6286388096437857e-04,+4.9999403960545485e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+7.1999999999999997e-01,+3.9220717944645326e+03,+9.9989060162689758e-01,+4.3164884562783918e+03,-1.9830439408949612e-04,+4.9998958362481061e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+7.2999999999999998e-01,+3.9224788735292295e+03,+9.9989264114853393e-01,+4.3163769155739910e+03,+3.4238559471980710e-04,+4.9999032722950665e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+7.3999999999999999e-01,+3.9230297552509555e+03,+9.9989470340382636e-01,+4.3155958874518683e+03,+6.6454123221904124e-04,+4.9999553408365410e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+7.5000000000000000e-01,+3.9234000937210631e+03,+9.9989689856300923e-01,+4.3146024489270958e+03,+6.1609411883391816e-04,+5.0000215700715267e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+7.6000000000000001e-01,+3.9233907625407805e+03,+9.9989927257291611e-01,+4.3139260991768497e+03,+2.5580372331987148e-04,+5.0000666600548760e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+7.7000000000000002e-01,+3.9230227463100896e+03,+9.9990178390351414e-01,+4.3138804689302369e+03,-1.9683775078707444e-04,+5.0000697020713181e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+7.8000000000000003e-01,+3.9225063822637380e+03,+9.9990432899376325e-01,+4.3144156766596770e+03,-4.9279837429405345e-04,+5.0000340215560213e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+7.9000000000000004e-01,+3.9221125398993277e+03,+9.9990679851835318e-01,+4.3151773802511489e+03,-4.8871735598218075e-04,+4.9999832413165901e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+8.0000000000000004e-01,+3.9220230692943369e+03,+9.9990913178387508e-01,+4.3157226409164223e+03,-2.1379358057769610e-04,+4.9999468906055716e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+8.1000000000000005e-01,+3.9222419842786167e+03,+9.9991134047571717e-01,+4.3157636863660009e+03,+1.6116008367874658e-04,+4.9999441542422657e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+8.1999999999999995e-01,+3.9226092432480737e+03,+9.9991349186127121e-01,+4.3153073121714069e+03,+4.2729131135977775e-04,+4.9999745791885719e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+8.2999999999999996e-01,+3.9229006350160621e+03,+9.9991566402149223e-01,+4.3146250222028602e+03,+4.5229057554302236e-04,+5.0000200651864757e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+8.3999999999999997e-01,+3.9229529095829735e+03,+9.9991789945137366e-01,+4.3140849095022759e+03,+2.4399910813594213e-04,+5.0000560726998489e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+8.4999999999999998e-01,+3.9227452854927583e+03,+9.9992018188686949e-01,+4.3139471169737117e+03,-6.6271067702480710e-05,+5.0000652588684191e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+8.5999999999999999e-01,+3.9223978350419547e+03,+9.9992244663177954e-01,+4.3142350177459839e+03,-3.0466010812725297e-04,+5.0000460654836010e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+8.7000000000000000e-01,+3.9220950249601383e+03,+9.9992461590633364e-01,+4.3147439368852165e+03,-3.5111251518120688e-04,+5.0000121375409845e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+8.8000000000000000e-01,+3.9219817961358167e+03,+9.9992663817440541e-01,+4.3151704967347923e+03,-1.9848698077058936e-04,+4.9999837002176795e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+8.9000000000000001e-01,+3.9220899566174608e+03,+9.9992851016538509e-01,+4.3152829620704697e+03,+5.3720541630993773e-05,+4.9999762025286348e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+9.0000000000000002e-01,+3.9223313684703353e+03,+9.9993027141819046e-01,+4.3150382401977477e+03,+2.6186363442944505e-04,+4.9999925173201487e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+9.1000000000000003e-01,+3.9225555947082944e+03,+9.9993197671022027e-01,+4.3145880097738818e+03,+3.1855994320821059e-04,+5.0000225326817382e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+9.2000000000000004e-01,+3.9226355644710525e+03,+9.9993366302799380e-01,+4.3141806099898458e+03,+2.0662357777564101e-04,+5.0000496926673410e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+9.3000000000000005e-01,+3.9225331508331210e+03,+9.9993532915478167e-01,+4.3140202235423503e+03,+1.6694980858660501e-07,+5.0000603850971737e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+9.3999999999999995e-01,+3.9223115425286301e+03,+9.9993693761982494e-01,+4.3141621307643327e+03,-1.8299981227764298e-04,+5.0000509246157077e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+9.4999999999999996e-01,+3.9220925715744925e+03,+9.9993843597880050e-01,+4.3144965789617909e+03,-2.4798463715090937e-04,+5.0000286280692108e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+9.5999999999999996e-01,+3.9219866264041925e+03,+9.9993978437357056e-01,+4.3148219461613789e+03,-1.7128356585455399e-04,+5.0000069369225730e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+9.6999999999999997e-01,+3.9220349089335668e+03,+9.9994097414042193e-01,+4.3149602805890690e+03,-6.9206687438126539e-06,+4.9999977146273933e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+9.7999999999999998e-01,+3.9221936743651618e+03,+9.9994202835996304e-01,+4.3148499249617280e+03,+1.4923320650063411e-04,+5.0000050716692157e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+9.8999999999999999e-01,+3.9223650973379913e+03,+9.9994298566747908e-01,+4.3145679606620661e+03,+2.1423515307288543e-04,+5.0000238692891930e-01,+0.0000000000000000e+00,+0.0000000000000000e+00
+1.0000000000000000e+00,+3.9224541713649919e+03,+9.9994387743570046e-01,+4.3142767863992131e+03,+1.6107425629293594e-04,+5.0000432809067152e-01,+6.2173879445056510e+00,+1.0000000000000001e-01
+1.0100000000000000e+00,+3.9224190270540075e+03,+9.9994471106712401e-01,+1.2940971221414882e+04,+1.0933363118496726e+00,+5.0363067997821287e-01,+3.3169027113249170e+00,+1.0000000000000001e-01
+1.0200000000000000e+00,+5.1462995753717296e+03,+1.0000829117387471e+00,+1.4563560360313832e+04,+3.5386938604022249e+00,+5.2646586037100307e-01,+1.7695282479705954e+00,+1.0000000000000001e-01
+1.0300000000000000e+00,+8.0091638748403548e+03,+1.0008342748039920e+00,+1.0457102705354790e+04,+5.3483168721795762e+00,+5.7179542296099706e-01,+9.4402232832301980e-01,+1.0000000000000001e-01
+1.0400000000000000e+00,+1.0432161258978551e+04,+1.0028342258167759e+00,+3.8824406409335420e+03,+5.0449968946753847e+00,+6.2520431099364449e-01,+5.0362471319374258e-01,+1.0000000000000001e-01
+1.0500000000000000e+00,+1.0670386552567383e+04,+1.0064226008912653e+00,-1.2555287448310382e+03,+2.6015702724930625e+00,+6.6456708696653455e-01,+2.6867780997303914e-01,+1.0000000000000001e-01
+1.0600000000000001e+00,+8.4374287419966495e+03,+1.0113899361452450e+00,-2.2984360495574256e+03,-7.1080708100482271e-01,+6.7424573824831113e-01,+1.4333642428730275e-01,+1.0000000000000001e-01
+1.0700000000000001e+00,+4.9126554237906794e+03,+1.0170690978950745e+00,+9.4198476226423020e+02,-3.1738625358851800e+00,+6.5409718730998756e-01,+7.6468281952763562e-02,+1.0000000000000001e-01
+1.0800000000000001e+00,+1.9375989114093513e+03,+1.0226861547781787e+00,+6.3332744149085074e+03,-3.6186897604043851e+00,+6.1893108380227591e-01,+4.0794921276163798e-02,+1.0000000000000001e-01
+1.0900000000000001e+00,+9.4257848967523887e+02,+1.0277514446780467e+00,+1.0776509687138490e+04,-2.0241854941817055e+00,+5.8972341009361717e-01,+2.1763606549399128e-02,+1.0000000000000001e-01
+1.1000000000000001e+00,+2.2012232138472195e+03,+1.0322726789577275e+00,+1.1947739815791900e+04,+5.5994139895808726e-01,+5.8213601718720953e-01,+1.1610625911754546e-02,+1.0000000000000001e-01
+1.1100000000000001e+00,+4.7763235047096923e+03,+1.0366887184999445e+00,+9.4687262306308621e+03,+2.6597717927770912e+00,+5.9878057284417374e-01,+6.1941311866995363e-03,+1.0000000000000001e-01
+1.1200000000000001e+00,+7.1204708776282832e+03,+1.0415820877065616e+00,+4.9361218428331767e+03,+3.1954861394679712e+00,+6.2906077949047934e-01,+3.3044955069314597e-03,+1.0000000000000001e-01
+1.1299999999999999e+00,+7.9509407968084015e+03,+1.0473418816855986e+00,+8.9606804821950072e+02,+2.0187913820521599e+00,+6.5602799801558642e-01,+1.7629091516129236e-03,+1.0000000000000001e-01
+1.1399999999999999e+00,+6.9072269073990956e+03,+1.0539603560268977e+00,-5.9548793246337493e+02,-9.2474372317277898e-02,+6.6598959057604767e-01,+9.4049111893834692e-04,+1.0000000000000001e-01
+1.1499999999999999e+00,+4.6598201829012305e+03,+1.0610592593327637e+00,+9.7680252926969354e+02,-1.9317318103914309e+00,+6.5551719614535531e-01,+5.0174085487864062e-04,+1.0000000000000001e-01
+1.1599999999999999e+00,+2.4608843879442943e+03,+1.0681112479926200e+00,+4.4510987217894126e+03,-2.5446071391284879e+00,+6.3236031206215015e-01,+2.6767279391037846e-04,+1.0000000000000001e-01
+1.1699999999999999e+00,+1.4256179839660940e+03,+1.0747210456463590e+00,+7.7567984626193684e+03,-1.7146823905950288e+00,+6.1032502952923318e-01,+1.4280026014112934e-04,+1.0000000000000001e-01
+1.1799999999999999e+00,+1.9507960451794543e+03,+1.0808113264700727e+00,+9.0981546176184838e+03,-1.2947459054867664e-02,+6.0138410397726283e-01,+7.6182244741929139e-05,+1.0000000000000001e-01
+1.1899999999999999e+00,+3.5677344470177695e+03,+1.0866228809996585e+00,+7.8859217885041808e+03,+1.5763962380959384e+00,+6.0946642909680804e-01,+4.0642323817507986e-05,+1.0000000000000001e-01
+1.2000000000000000e+00,+5.2691499775438879e+03,+1.0925455758497618e+00,+4.9435483753791195e+03,+2.2167423390866134e+00,+6.2908266419753345e-01,+2.1682197616001986e-05,+1.0000000000000001e-01
+1.2100000000000000e+00,+6.0935971638472056e+03,+1.0988852303230527e+00,+1.9428885274549198e+03,+1.6512771794342207e+00,+6.4908728316569186e-01,+1.1567195211448222e-05,+1.0000000000000001e-01
+1.2200000000000000e+00,+5.6333509013766643e+03,+1.1056962693885446e+00,+4.3860238675948369e+02,+2.8795256093814120e-01,+6.5911597479478057e-01,+6.1709614245231137e-06,+1.0000000000000001e-01
+1.2300000000000000e+00,+4.2021819800136554e+03,+1.1127634068817269e+00,+1.0511113584955669e+03,-1.0770190188454263e+00,+6.5503264425885976e-01,+3.2921347132841561e-06,+1.0000000000000001e-01
+1.2400000000000000e+00,+2.6040564816073788e+03,+1.1197288438404311e+00,+3.2198177045883904e+03,-1.7176876460661368e+00,+6.4057463535272596e-01,+1.7563148144716934e-06,+1.0000000000000001e-01
+1.2500000000000000e+00,+1.6615083089249042e+03,+1.1262843121556274e+00,+5.6070740418002979e+03,-1.3585628914550250e+00,+6.2465961092376465e-01,+9.3697311953633289e-07,+1.0000000000000001e-01
+1.2600000000000000e+00,+1.7762094271259966e+03,+1.1323199699621491e+00,+6.8797685894159385e+03,-2.8107110045468564e-01,+6.1617499011261523e-01,+4.9986404437873944e-07,+1.0000000000000001e-01
+1.2700000000000000e+00,+2.7528010805615922e+03,+1.1379547617426600e+00,+6.4187374683195094e+03,+8.7597166268027671e-01,+6.1924853599141683e-01,+2.6667153640858032e-07,+1.0000000000000001e-01
+1.2800000000000000e+00,+3.9562777167192098e+03,+1.1434426861091349e+00,+4.5847779892583521e+03,+1.4883427107974456e+00,+6.3147493522407205e-01,+1.4226610112189064e-07,+1.0000000000000001e-01
+1.2900000000000000e+00,+4.6893704642196253e+03,+1.1490159707011403e+00,+2.4392164158207656e+03,+1.2774303425209372e+00,+6.4577868049038445e-01,+7.5897276907710420e-08,+1.0000000000000001e-01
+1.3000000000000000e+00,+4.5693906451415533e+03,+1.1547542963791224e+00,+1.1164670687631096e+03,+4.2771934730721622e-01,+6.5459701024080297e-01,+4.0490297337214542e-08,+1.0000000000000001e-01
